Cargo,Provincia,Empresa,Descripción,Plataforma,URL
ASISTENTE DE OFICINA QUITO,Pichincha,Banco Solidario,Nos encontramos en la busqueda de un ASISTENTE DE OFICINA que maneje documentación administrada y ejecute actividades asignadas tales como:,Indeed,https://ec.indeed.com/rc/clk?jk=d8afebe5bca3ac2d&fccid=86385dd794c56c3c&vjs=3
CERVECERIA NACIONAL,Loja,CERVECERIA NACIONAL,Asegurar disponibilidad del portafolio de productos de acuerdo al subcanal y desarrollarlos utilizando efectivamente los recursos alcanzando la satisfacción…,Indeed,https://ec.indeed.com/rc/clk?jk=983f478c08551c88&fccid=0ced821699d200b7&vjs=3
HLGP,Guayas,HLGP,SEGURIDAD INDUSTRIAL Y SALUD OCUPACIONAL.,Indeed,https://ec.indeed.com/rc/clk?jk=4f9815af7f048f93&fccid=36983db4fd583dee&vjs=3
Se busca Recepcionista,Guayas,Confidencial,"Atención a clientes, manejo de archivo, manejo de llamadas telefónicas.",Indeed,https://ec.indeed.com/rc/clk?jk=4afc41374880c20f&fccid=dd616958bd9ddc12&vjs=3
Recepcionista y facturista,Manabí,Confidencial,Comercial / Ventas / Atención al Cliente.,Indeed,https://ec.indeed.com/rc/clk?jk=dea4b460c6ce1cdb&fccid=dd616958bd9ddc12&vjs=3
Asistente de Almacén,Guayas,Vacantes Empleos.Net,Tres a seis meses como Asistente de Almacén /Bodega o desempeñando cargos afines.,Indeed,https://ec.indeed.com/rc/clk?jk=b853e08005440448&fccid=c25311cf88288277&vjs=3
Personal para bodega,Guayas,Confidencial,Disponibilidad de cambio de residencia:,Indeed,https://ec.indeed.com/rc/clk?jk=2cb53f3552a87f2c&fccid=dd616958bd9ddc12&vjs=3
EVALUAR.COM,Guayas,EVALUAR.COM,IMPORTANTE EMPRESA DEL SECTOR ALIMENTICIO ESTÁ EN LA BÚSQUEDA DE PERSONAL PARA TRABAJAR EN SUPERMERCADO.,Indeed,https://ec.indeed.com/rc/clk?jk=3cfe5fcdea7f1481&fccid=2b3227c36c121c72&vjs=3
UNILEVER ANDINA,Guayas,UNILEVER ANDINA,Unilever es una de las empresas de consumo más grandes del mundo con presencia en más de 190 países.,Indeed,https://ec.indeed.com/rc/clk?jk=e4637dfc22dd1391&fccid=37e886222e0cbb3a&vjs=3
FARMAENLACE,Pichincha,FARMAENLACE,"Farmaenlace, empresa lider de comercializacion de productos farmaceuticos, se encuentra dentro de las 500 empresas más grandes del pais con presencia a nivel…",Indeed,https://ec.indeed.com/rc/clk?jk=5b1c3c1918146b36&fccid=ca51502fb6444eb4&vjs=3
Pronaca,Pichincha,Pronaca,"Responsable de la salud asistencial, preventiva, ocupacional y atenciones de emergencia del personal del centro de operación.",Indeed,https://ec.indeed.com/rc/clk?jk=be48a66333a214cd&fccid=f054879f3feffec3&vjs=3
Jose Raul Viñansaca Mosquera,Guayas,Jose Raul Viñansaca Mosquera,Necesitamos personas que estén dispuestas a completar una investigación de mercado y responder preguntas para las empresas con las que trabajamos.,Indeed,https://ec.indeed.com/rc/clk?jk=0e1155811e5924a3&fccid=1ad7bbe0c90195d3&vjs=3
ESTUDIO JURIDICO NIEVES DEFENSORES,Guayas,ESTUDIO JURIDICO NIEVES DEFENSORES,"Recuperación de cartera vencida en campo, realización de hoja ruta de clientes, realizar reportes de visitas , visitas a clientes , realizar recibos de cobro,…",Indeed,https://ec.indeed.com/rc/clk?jk=c878440917d49b94&fccid=db69095228db2949&vjs=3
Asistente Recepcionista,Pichincha,Confidencial,Disponibilidad de cambio de residencia:,Indeed,https://ec.indeed.com/rc/clk?jk=6a9c6d503f6c2fb3&fccid=dd616958bd9ddc12&vjs=3
FRAVEAR,Guayas,FRAVEAR,Somos un centro de entrenamiento cerebral.,Indeed,https://ec.indeed.com/rc/clk?jk=f7c20ec0ee105683&fccid=0c1793961b43495b&vjs=3
SALC Asistente de Gerencia,Pichincha,Confidencial,Disponibilidad de cambio de residencia:,Indeed,https://ec.indeed.com/rc/clk?jk=09e1214dff90c3a0&fccid=dd616958bd9ddc12&vjs=3
SUPAN,Tungurahua,SUPAN,"Bienvenido a Bimbo Ecuador, somos parte de Grupo Bimbo una empresa líder a nivel mundial en la industria de la panificación por volúmenes de producción y ventas…",Indeed,https://ec.indeed.com/rc/clk?jk=c32055087943d99d&fccid=7f381e2a942b0130&vjs=3
Corporación GPF - Grupo Fybeca,Guayas,Corporación GPF - Grupo Fybeca,"Somos una empresa en constante innovación, con cerca de 90 años al servicio del mercado ecuatoriano, ahora integrada a Socofar, líder regional en la…",Indeed,https://ec.indeed.com/rc/clk?jk=746ec776f428c8a9&fccid=6d515bfe1b784b77&vjs=3
Ecuador Internship Program (UIO) 2020 - 1,Pichincha,CITI,You're the brains behind our work.,Indeed,https://ec.indeed.com/rc/clk?jk=8c77bc7b78c96975&fccid=5bcd1ef0a7f4fb99&vjs=3
Megaprofer,Guayas,Megaprofer,MEGAPROFER - Empresa líder en el mercado ferretero se encuentra en la búsqueda de:,Indeed,https://ec.indeed.com/rc/clk?jk=10b8060dbf7e4292&fccid=618e76c3fa865058&vjs=3
